id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
washington-dc-osm-d94c38cf,Emery Shelter Clinic,shelter,,38.9136046,-77.0078947,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/358961190
washington-dc-osm-e0b4af56,Canaan Baptist Church Coalition for the Homeless,meal,DC,38.9328594,-77.0368238,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/367141197
washington-dc-osm-4e5d3421,Bread for the City,meal,"1525 7th Street Northwest, Washington, DC, 20001",38.9103,-77.0217,+12022652400,,,,,,,,,,,,,,Mo-Th 09:00-17:00; Fr 09:00-12:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/367141203
washington-dc-osm-8bd651cb,Phyllis Wheatley YWCA,shelter,DC,38.9117349,-77.0242502,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/367144261
washington-dc-osm-58fa93e8,Thrive DC,shelter,"1525 Newton Street Northwest, Washington, DC, 20010",38.933592,-77.0355665,+12025031523,,,,,,,,,,,,,,Mo-Fr 08:00-18:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4802800100
washington-dc-osm-12449465,Queen of Peace,shelter,3310 Wheeler Road Southeast,38.8418512,-76.9935398,+12025626890,,,,,,,,,,,,,,"Mo-Su 08:30-11:30,15:30-18:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4842101992
washington-dc-osm-caab895a,Congress Heights Service Center (food stamps),meal,4001 South CapitoL Street Southwest,38.8311989,-77.0081116,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4842101994
washington-dc-osm-09101503,Dwelling Place - Shelter for Abused Elderly,shelter,2812 Pennsylvania Avenue Southeast,38.8723744,-76.9670156,+12025837602,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4842592191
washington-dc-osm-db255603,Sasha Bruce House,shelter,741 8th Street Southeast,38.8798693,-76.9952866,+12026759340,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4842627232
washington-dc-osm-0113b3d4,Randall Shelter,shelter,75 I Street Southwest,38.8796018,-77.0117993,+12028421731,,,,,,,,,,,,,,Mo-Su 19:00-07:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4842627233
washington-dc-osm-cbaa98ef,Bethany Women’s Center,shelter,,38.9073719,-77.0314507,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4867674825
washington-dc-osm-2de13884,Salvation Army Sherman Avenue Corps,meal,,38.9315827,-77.0262983,+12028290100,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/5159544222
washington-dc-osm-2f2251be,Thayer Little Free Pantry,meal,,38.9932957,-77.0186324,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8249870137
washington-dc-osm-bf4fe774,Arlington Food Assistance Center,meal,,38.8436381,-77.0893666,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10298717235
washington-dc-osm-d2b9ec26,NW Community Food,meal,,38.9459421,-77.0652515,,,,,,,,,,,,,,,Su 13:00-15:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12972073938
washington-dc-osm-8fbd4e9d,So Others Might Eat Meal Service,meal,"71 O Street Northwest, Washington, DC",38.9088899,-77.0113773,,,,,,,,,,,,,,,"Mo-Su 07:30-08:30,11:30-12:30",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13699193970
washington-dc-osm-9ec19b79,Blair Shelter,shelter,"635 I Street Northeast, Washington, 20002",38.9010614,-76.9970193,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/66796951
washington-dc-osm-1d22709e,Rachael's Women's Center,shelter,1222 11th Street Northwest,38.9063676,-77.0273297,+12026821005,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/66816884
washington-dc-osm-39013edc,Central Union Mission,shelter,"65 Massachusetts Avenue Northwest, Washington, DC, 20001",38.8986845,-77.011063,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/67093742
washington-dc-osm-53084134,Mickey Leland House,shelter,455 Florida Avenue Northwest,38.9147241,-77.0176895,+12025881375,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/74041174
washington-dc-osm-e041adb6,Bread for the City,meal,"1700 Good Hope Road Southeast, Washington, DC, 20020-4706",38.8662243,-76.9811022,+12025618587,,,,,,,,,,,,,,Mo-Th 09:00-17:00; Fr 09:00-12:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/295092024
washington-dc-osm-2cba1bc5,Harriet Tubman Women's Shelter,shelter,"1910 Massachusetts Avenue Southeast, Washington, DC",38.8833551,-76.9729406,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/298594962
