id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
washoe-nv-overture-34e89a95,Reno-Sparks Gospel Mission,shelter,"2115 Timber Way, Reno",39.54927444458008,-119.80104064941406,+17753230386,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rsgm.org/
washoe-nv-overture-0d782674,St. Vincent's Dining Room,meal,"325 Valley Rd #3344, Reno",39.530372619628906,-119.80790710449219,+17753295363,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ccsnn.org/pages/dining-room
washoe-nv-overture-92e2d883,Reno Community Resource Center,shelter,"335 Record St, Reno",39.530155181884766,-119.80936431884766,17756574675,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.voa-ncnn.org/our-services/bay-area-services
washoe-nv-overture-6f1a594d,The Community Food Pantry,meal,"1135 12th St, Sparks",39.5444450378418,-119.75981903076172,+17753910482,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thecommunityfoodpantryrenosparks.com/
washoe-nv-overture-da41f482,St Vincent's Food Pantry,meal,"500 E 4th St, Reno",39.530635833740234,-119.8072738647461,17757865266,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: ccsnn.org
washoe-nv-overture-1aebf7b5,Renown Health Prescription Pantry Program,meal,"1095 E 2nd St, Reno",39.52790832519531,-119.79698181152344,7759827447,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.renown.org/locations/prescription-pantry-program/?utm_source=GMBlisting&utm_medium=organic
washoe-nv-overture-74638017,Vitality Veterans Housing,shelter,"3655 El Rancho Dr, Sparks",39.566734313964844,-119.77642822265625,+17756733800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vitalityunlimited.org/
washoe-nv-overture-100c01d1,Hope Springs,shelter,"1920 E 4th St, Reno",39.53349304199219,-119.79007720947266,+17757864673,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
washoe-nv-overture-e302cf01,Eddy House,shelter,"888 Willow St, Reno",39.52456283569336,-119.8008804321289,+17753841129,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.eddyhouse.org/
washoe-nv-overture-1a34c34f,"Food For Kids, Inc.",meal,"140 Washington St, Reno",39.52470397949219,-119.82192993164062,+17753379121,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodforkidsnevada.org/
washoe-nv-overture-d429c55a,American Home project,shelter,"122 Ridge St, Reno",39.52207565307617,-119.81349182128906,+17752099668,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Americanhomeproject.org/
washoe-nv-overture-118f3d38,Volunteers Of America,shelter,"1775 E 4th St, Reno",39.53432846069336,-119.79106903076172,17753294141,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.voa-ncnn.org/our-services/bay-area-services
