id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
waukesha-wi-overture-0d0950c7,Pewaukee Food Pantry,meal,"642 Main St, Pewaukee",43.07622146606445,-88.25418090820312,+12628938241,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.pewaukeefoodpantry.com/
waukesha-wi-overture-4038521d,Kettle Moraine Food Pantry,meal,"705 W Tomlin Rd, Wales",42.98896789550781,-88.38524627685547,+12629686466,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://kettlemorainefoodpantry.placeweb.site/
waukesha-wi-overture-c428547b,Food Pantry Of Waukesha County,meal,"1301 Sentry Dr, Waukesha",42.98973846435547,-88.24888610839844,12625425300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.waukeshafoodpantry.org
waukesha-wi-overture-5221d32b,Sussex Outreach Services,meal,"N64W23760 Main St, Sussex",43.13447952270508,-88.21987915039062,+12622469860,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sussexareasos.org/
waukesha-wi-overture-3a527264,Friends With Food,meal,"713 N Grandview Blvd, Waukesha",43.02361297607422,-88.25556945800781,+12624099282,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://friendswithfoodwi.org/
waukesha-wi-overture-67665555,Mukwonago Food Pantry,meal,"325 Eagle Lk Ave, Mukwonago",42.866695404052734,-88.33954620361328,+12623633452,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mukwonagofoodpantry.org/
waukesha-wi-overture-c21a90d1,Family Promise of Waukesha County,shelter,"139 E North St, Waukesha",43.01396560668945,-88.23482513427734,+12629682321,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://familypromisewaukeshawi.org/
waukesha-wi-overture-f211735f,Oconomowoc Food Pantry,meal,"W359 N5848 Brown St, Oconomowoc",43.125370025634766,-88.46000671386719,+12625677054,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.oconomowocfoodpantry.org/
waukesha-wi-overture-5848de99,Juno House - Hebron Housing Services,shelter,"812 N East Ave, Waukesha",43.01129913330078,-88.22694396972656,12625498722,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: hebronhouse.org
waukesha-wi-overture-6a45ee75,Siena House - Hebron Housing Services,shelter,"1519 Summit Ave, Waukesha",43.021522521972656,-88.25379180908203,12625498732,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: hebronhouse.org
waukesha-wi-overture-c5af4caf,Christian Homes,shelter,"1128 Green Valley Dr, Waukesha",42.98661422729492,-88.25470733642578,+12625745916,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://christianhomes.org
waukesha-wi-overture-47629e14,Falls Area Food Pantry,meal,"N85W15382 Menomonee River Pkwy, Menomonee Falls",43.17387008666992,-88.1012954711914,+12622516848,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fallsfoodpantry.org/
