id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
wayne-mi-overture-d4927c9a,Gibraltar Food Pantry,meal,"29885 Bayview Dr, Gibraltar",42.09143829345703,-83.1900634765625,+13139105871,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://sites.google.com/view/gibraltarfoodpantry/home
wayne-mi-overture-4d384877,Jcares Grab-n-go: Mobile Grocery Distribution - Food Pantry,meal,"34850 Marquette St, Westland",42.317718505859375,-83.38374328613281,7343947988,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: j-cares.org
wayne-mi-overture-541f5aca,Open Door Ministries,meal,"4301 S Lilley Rd, Canton",42.27614212036133,-83.45543670654297,17343971777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.opendoorfoodministry.org
wayne-mi-overture-75f824f4,Fish & Loaves,meal,"25670 Northline Rd, Taylor",42.21308517456055,-83.28562927246094,+17344420031,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.flcfp.org/
wayne-mi-overture-5bcfb92d,Waynewright Community Meals aka the Wyandotte Soup Kitchen,meal,"98 Superior Blvd, Wyandotte",42.20667266845703,-83.14994049072266,+17348258568,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
wayne-mi-overture-4694fe03,Garden City- Our HOME Pantry,meal,"1751 Radcliff St, Garden City",42.3214111328125,-83.37580871582031,+17347931850,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.GardenCityMi.org/foodpantry
wayne-mi-overture-df043b4b,Safe Step Communities,shelter,"32715 Dorsey St, Westland",42.29214859008789,-83.36226654052734,+17346411141,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://safestepcommunities.com
wayne-mi-overture-30b782dd,Northville Civic Concern,meal,"43275 7 Mile Rd, Northville",42.42319107055664,-83.47203063964844,+12483441033,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.northvillecivicconcern.org/
wayne-mi-overture-68ca1ef5,Gleaners Distribution Center,meal,"25698 Northline Rd, Taylor",42.21255111694336,-83.28558349609375,+17349466374,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gcfb.org
wayne-mi-overture-340fec64,J Cares,meal,"480 N Canton Center Rd Unit 871043, Canton",42.30984878540039,-83.48615264892578,+17343947988,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: j-cares.org
wayne-mi-overture-ce3c1af4,Samaritas Family Center,shelter,"30600 Michigan Ave, Westland",42.28826904296875,-83.34178161621094,+17347210590,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://wayne-county-family-center.hub.biz/
wayne-mi-overture-b453cea9,Mother's Pantry,meal,"27717 Carlysle St, Inkster",42.28254699707031,-83.31318664550781,+13132788282,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.operationrefuge.org/
wayne-mi-overture-4aae8d32,Focus Hope Food Distribution Center,meal,"759 Inkster Rd, Inkster",42.305870056152344,-83.30960083007812,+13135616342,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.focushope.edu
wayne-mi-overture-b015dcc9,Redford Interfaith Relief,meal,"18499 Beech Daly Rd, Redford",42.42472457885742,-83.2977066040039,+13133879802,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.RedfordInterfaithRelief.org/
wayne-mi-overture-96c938c7,GWDM Food Pantry,meal,"9340 Wayne Rd, Romulus",42.23568344116211,-83.38691711425781,+17345898242,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.greaterworksdeliveranceministries.org/
wayne-mi-overture-fa7b1982,Nourishing Gardens Food Bank,meal,"24831 Sumpter Rd, Belleville",42.12173843383789,-83.48057556152344,17347137715,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ngfb.org
wayne-mi-overture-f7c6d933,Fed by Faith Food Pantry,meal,"25402 Arsenal Rd, Flat Rock",42.12068176269531,-83.28961181640625,+17347829468,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.faithbrownstown.org/
wayne-mi-overture-549f84b8,Oakwood SDA,meal,"26300 Goddard Rd, Taylor",42.22652816772461,-83.29468536376953,+13132910600,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.oakwoodsda.com/
wayne-mi-overture-deb616ab,Downriver Community Food Pantry,meal,"135 Superior Blvd, Wyandotte",42.20607376098633,-83.15155029296875,+17342816733,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wyandotte.net/
wayne-mi-overture-301c976f,Eagles Helping Hands,meal,"26255 Schoolcraft, Redford",42.38041305541992,-83.30305480957031,+18108140314,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.eagleshelpinghands.org/
