id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
whatcom-wa-overture-e9ea98fd,Blaine Food Bank,meal,"500 C St, Blaine",48.999412536621094,-122.74585723876953,+13603326350,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.blainefoodbank.org/
whatcom-wa-overture-85520d03,Foothills Food Bank,meal,"8255 Kendall Rd, Maple Falls",48.94013214111328,-122.15106201171875,+13603928149,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foothillsfoodbank.org/get-involved/donate-funds
whatcom-wa-overture-2807f700,Light House Mission New Life Center,shelter,"923 W Holly St, Bellingham",48.75508117675781,-122.487548828125,+13607783875,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://thelighthousemission.org
whatcom-wa-overture-bb6e9b2c,Lighthouse Mission Ministries,shelter,"1312 F St, Bellingham",48.755279541015625,-122.48690795898438,+13607335120,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thelighthousemission.org/
whatcom-wa-overture-fed1b3d4,Nooksack Valley Food Bank,meal,"100 E 2nd St, Everson",48.92135238647461,-122.34220886230469,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
whatcom-wa-overture-44d54721,HomesNow. Not Later.,shelter,"1441 St Paul St, Bellingham",48.747833251953125,-122.452392578125,+13602243727,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://homesnow.org/
whatcom-wa-overture-5ca2ab59,Ferndale Food Bank,meal,"1671 Main St, Ferndale",48.846797943115234,-122.57166290283203,+13603802527,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ferndalefoodbank.org/
whatcom-wa-overture-a4ca09f2,Interfaith Coalition,shelter,"910 14th St, Bellingham",48.725181579589844,-122.50032043457031,+13607343983,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
whatcom-wa-overture-2ba97665,Bellingham Food Bank,meal,"1824 Ellis St, Bellingham",48.754669189453125,-122.4720230102539,+13606760392,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bellinghamfoodbank.org
whatcom-wa-overture-ee37a0e2,New Way Ministries,shelter,"205 S British Columbia Ave, Lynden",48.9385871887207,-122.46339416503906,+13603549930,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.christianhopeassociation.org/new-way-ministries/new-way-cottage-enterprises/
