id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
will-il-overture-4a90151f,New Lenox Township Food Pantry,meal,"1080 S Cedar Rd, New Lenox",41.4954719543457,-87.96339416503906,+18157176221,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.newlenox.org/services/food_pantry.php
will-il-overture-6f12ef8d,Fairmont Food Pantry,meal,"525 Barry Ave, Lockport",41.55826950073242,-88.05915832519531,+18157233577,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
will-il-overture-0148e190,FISH Food Pantry,meal,"1463 S Farrell Rd, Lockport",41.581871032714844,-88.02730560302734,+18155883543,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://lockportfoodpantry.com/
will-il-overture-656d007e,4kids Sake Food Pantry & Enrichment Center,meal,"339 Remington Blvd, Bolingbrook",41.68311309814453,-88.07797241210938,+13313339250,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.4-kidssake.org/
will-il-overture-df180749,Joliet Hope Center,meal,"1820 W Jefferson St, Joliet",41.52131652832031,-88.12664794921875,+16308861553,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://handsofhope4u.org/
will-il-overture-86bab35f,MorningStar Counseling Center,shelter,"621 Rollingwood Dr, Shorewood",41.53385543823242,-88.21173095703125,7792605405,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.morningstarmission.org/programs/counselingcenter.html
will-il-overture-6bd60fce,Kuzma Care Cottage,meal,"635 S Main St, Wilmington",41.303035736083984,-88.14288330078125,+18154762030,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://kuzmacarecottage.org/
will-il-overture-587c55a6,Hands of Hope of Illinois,meal,"511 Oak Leaf Ct, Joliet",41.51304626464844,-88.13211822509766,+16308861553,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.handsofhope4u.org/
will-il-overture-9363ca8e,Daybreak Shelter,shelter,"611 E Cass St, Joliet",41.5282096862793,-88.06487274169922,+18157744663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://cc-doj.org
will-il-overture-ef3a7c97,Frankfort Township Food Pantry,meal,"11000 W Lincoln Hwy, Frankfort",41.50333786010742,-87.88443756103516,+18158062761,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.frankfortassessor.com/
will-il-overture-9c84bb65,Plainfield Area Interfaith Food Pantry,meal,"22525 W Lockport St, Plainfield",41.6084098815918,-88.16648864746094,+18154398394,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.plainfieldfoodpantry.org/
will-il-overture-35bb0ea0,DuPage Township Food Pantry,meal,"719 Parkwood Ave, Romeoville",41.65546798706055,-88.07612609863281,+18158867986,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://dupagetownship.com/departments/food-pantry
will-il-overture-6d34f1ce,Romeoville Community Pantry NFP INC,meal,"2 Belmont Dr, Romeoville",41.648006439208984,-88.08128356933594,+18155709772,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
