id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
windsor-vt-overture-bce99823,Listen Community Dining Hall,meal,"42 Maple St  Ste 4, White River Junction",43.65049362182617,-72.31591033935547,18026988764,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.listencs.org
windsor-vt-overture-2d121ea6,Windsor Community Food Shelf,meal,"44 Main St, Windsor",43.4819221496582,-72.38582611083984,+18026746781,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.trinitywindsor.com/food-shelf/
windsor-vt-overture-569226f1,Springfield Family Center,meal,"130 Springfield Plaza Ste #9, Springfield",43.30168914794922,-72.49197387695312,+18028853646,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://springfieldfamilycenter.com/
windsor-vt-overture-872169b2,Springfield Supported Housing Program (sshp),shelter,"56 Main St  Ste 208, Springfield",43.297882080078125,-72.48162078857422,18028853034,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.sshpvt.org
windsor-vt-overture-6813a3c8,South Royalton Area Food Shelf,meal,"2995 VT-14, Royalton",43.826332092285156,-72.53060913085938,+18027637633,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.reddoorchurchofsoro.org/food-shelf/
windsor-vt-overture-d945219f,Springfield Family Center,meal,"365 Summer St, Springfield",43.29200744628906,-72.4663314819336,8028853646,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://springfieldfamilycenter.com/
windsor-vt-overture-4703ee8c,Weathersfield Food Shelf,meal,"1862 VT-106, Perkinsville",43.369083404541016,-72.51751708984375,+18026742626,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://weathersfieldfoodshelf.weebly.com/
windsor-vt-overture-ffc10e16,Luce's Lookout,shelter,Barnard,43.6788215637207,-72.63843536376953,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
windsor-vt-overture-3ba230b6,Bethel Area Food Shelf,meal,"129 VT-12, Bethel",43.831451416015625,-72.63629150390625,+18022345513,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bethelvtfoodshelf.org/
windsor-vt-overture-ee6bf2f6,Reading-West Windsor Food Shelf,meal,"3456 Tyson Rd, Reading",43.47606658935547,-72.59417724609375,+18024845097,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://rwwfoodshelf.org/
windsor-vt-overture-f2d57f71,Woodstock Community Food Shelf,meal,"217 Maxham Meadow Way, Woodstock",43.6317138671875,-72.50579833984375,18024571185,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://woodstockfoodshelf.org
