id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
winnebago-il-overture-170dd3c9,Soul's Harbor - Food Pantry,meal,"2802 11th St, Rockford",42.23418426513672,-89.07209014892578,+18152291922,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.soulsharborofrockford.com/
winnebago-il-overture-5d913b49,Rock River Valley Pantry,meal,"421 S Rockton Ave, Rockford",42.2700309753418,-89.10221862792969,+18159652466,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rrvp.org/
winnebago-il-overture-bcd87fac,Pecatonica Community Food Pantry,meal,"527 Main St, Pecatonica",42.3118896484375,-89.35975646972656,8153357143,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.pecatonicacommunityfoodpantry.com/
winnebago-il-overture-eed91af8,Shelter Care Ministries,shelter,"218 7th St, Rockford",42.265472412109375,-89.0807113647461,+18159645520,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://shelter-care.org/
winnebago-il-overture-e9b75eb3,Carpenter's Place,shelter,"1149 Railroad Ave, Rockford",42.25905990600586,-89.07926940917969,+18159644105,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.carpentersplace.org/
winnebago-il-overture-ea3d6074,Cornucopia Food Pantry,meal,"402 Market St, Rockford",42.26897048950195,-89.08731079101562,+18159621380,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
winnebago-il-overture-df71b39b,Northern Illinois Food Bank - Northwest Center,meal,"765 Research Pkwy, Rockford",42.21698760986328,-89.08546447753906,+18156391257,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://solvehungertoday.org/
winnebago-il-overture-6d0caf5b,Rockford Rescue Mission,shelter,"715 W State St, Rockford",42.27400588989258,-89.10002899169922,+18159655332,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rockfordrescuemission.org/
winnebago-il-overture-9e6b5ed2,Rockford Meld,shelter,"620 Kishwaukee St, Rockford",42.26079559326172,-89.0865249633789,+18159633369,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rockfordmeld.org/
winnebago-il-overture-ae1a814b,Voices Of Inspiration,meal,"3112 N Rockton Ave, Rockford",42.30470275878906,-89.09786987304688,17792002795,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.voicesofinspiration.org
winnebago-il-overture-2e829957,Durand Area Food Pantry,meal,"408 N Center St, Durand",42.436317443847656,-89.33238983154297,+18159858626,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/donate?hosted_button_id=8XHD2MSVURFXY
