id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
worcester-ma-overture-d9dceda0,St. Luke's Guesthouse,shelter,"141 Main St, Southbridge",42.07295227050781,-72.03083038330078,+17742306416,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://friendsofstlukes.org/
worcester-ma-overture-345ac115,Northborough Food Pantry,meal,"37 Pierce St, Northborough",42.32188415527344,-71.64105224609375,+15083936897,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nfpantry.org/
worcester-ma-overture-62d22308,Charlton Chip-In Food Pantry,meal,"37 Main St, Charlton",42.13410568237305,-71.96923828125,+15082483292,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Charltonfoodpantry.org/
worcester-ma-overture-e42c436b,The People First Food Pantry,meal,"19 Douglas St, Uxbridge",42.07683563232422,-71.63135528564453,+15082785506,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.peoplefirstuxbridge.org/
worcester-ma-overture-436d65bb,Shrewsbury Community Fridge,meal,"100 Maple Ave, Shrewsbury",42.29218292236328,-71.7225570678711,+15088418501,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
worcester-ma-overture-c0d24401,Worcester County Food Bank,meal,"474 Boston Tpke, Shrewsbury",42.27587127685547,-71.72117614746094,+15088423663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodbank.org/
worcester-ma-overture-c1244de5,Wachusett Food Pantry,meal,"50 Worcester Rd, Sterling",42.41021728515625,-71.77153778076172,+19785631064,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.wachusettfoodpantry.org/
worcester-ma-overture-9ac7e980,Templeton Food Pantry,meal,"16 Senior Dr, Baldwinville",42.61260223388672,-72.06891632080078,+15088264258,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.templetonfoodpantry.com/
worcester-ma-overture-7e7f01e6,Blackstone-millville Food Pantry,meal,"48 Saint Paul St, Blackstone",42.015560150146484,-71.53853607177734,15088836873,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
worcester-ma-overture-efcb0e06,Grafton Food Bank,meal,"30 Providence Rd, Grafton",42.20960235595703,-71.69395446777344,+15082774535,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://graftonfoodbank.org/
worcester-ma-overture-ac93b624,Nac Food Pantry,meal,"20 Highland St, Northbridge",42.12246322631836,-71.6484146118164,+17742466410,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nacfoodpantry.org
worcester-ma-overture-e9c4e28e,Visitation House Inc,shelter,"119 Endicott St, Worcester",42.250614166259766,-71.79703521728516,+15087988002,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://visitationhouse.org/
worcester-ma-overture-eba5bb3b,Berlin Family Food Pantry,meal,"23 Linden St #6, Berlin",42.38072204589844,-71.63988494873047,+17742458320,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.berlinfamilyfoodpantry.org/
worcester-ma-overture-52917694,The Fellowship Table - Soup Kitchen,meal,"28 Green St, Gardner",42.5805778503418,-71.9867172241211,9786328700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://gardner-cac.org
worcester-ma-overture-16c7460d,Food Share,meal,"4 Church St #2, Webster",42.04939270019531,-71.88140106201172,+15089439171,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://uccfedwebster.org/index.html
worcester-ma-overture-7f82374a,Oxford Food Shelf,meal,"4 Maple Rd, Oxford",42.120243072509766,-71.86546325683594,+15089871062,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://OxfordFoodShelf.org/
worcester-ma-overture-f901b3d8,Carty Cupboard Food Pantry,meal,"114 Main St, Worcester",42.269432067871094,-71.80094146728516,15087994191,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: wesleyworc.org
worcester-ma-overture-5c8178d5,Abby's House,shelter,"52 High St, Worcester",42.26131820678711,-71.80480194091797,+15087565486,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://abbyshouse.org
worcester-ma-overture-3dccb55f,Fitchburg Housing Authority Transitional Housing,shelter,"62 Normandy Rd, Fitchburg",42.5665283203125,-71.78254699707031,+19783420072,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
worcester-ma-overture-ea8192b8,North Star Family Services,shelter,"758 Main St, Leominster",42.54845428466797,-71.74002838134766,+19784661704,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.northstarfs.org/
worcester-ma-overture-c443d079,Westborough Food Pantry,meal,"9 E Main St, Westborough",42.270687103271484,-71.61225128173828,+15083663007,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://westboroughfoodpantry.org/
worcester-ma-overture-12339525,Central Mass Shelter,shelter,"217 Cambridge St, Worcester",42.24372100830078,-71.82151794433594,+15083631342,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.veteransinc.org/services/housing-programs/sites
worcester-ma-overture-5164755c,Wheat Community Services Inc,meal,"44 High St, Clinton",42.41672897338867,-71.68474578857422,+19783656349,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wheatcommunity.org/
worcester-ma-overture-6a2c3d90,WHEAT Community Connections,meal,"272 High St, Clinton",42.4200553894043,-71.68470764160156,+15083704943,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.uwotc.org/wheat
worcester-ma-overture-f16943a1,"The Little Free Pantry,   Westborough, MA",meal,"3 John St, Westborough",42.266197204589844,-71.61897277832031,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://inyourshoeswestborough.com/
worcester-ma-overture-b3f26568,St Anne's Human Services,meal,"130 Boston Tpke, Shrewsbury",42.27390670776367,-71.7484359741211,5087994169,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: stannesparish.org
worcester-ma-overture-0a37da45,In the Hour of Need Family Shelter,shelter,"91 June St, Worcester",42.265750885009766,-71.83174133300781,+15087552212,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ihnworcester.org/
