id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
yakima-wa-overture-a8468cbf,The Pantry at Moxee,meal,"7203 E Mieras Rd, Yakima",46.57727813720703,-120.40436553955078,+15094526138,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://evrchurch.org/
yakima-wa-overture-e58e2b16,Selah Naches Food Bank,meal,"810 N Park Dr, Selah",46.664825439453125,-120.51907348632812,+15096982336,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://selahnachesfoodbank.org/
yakima-wa-overture-7cd59c94,Wapato Food Bank,meal,"118 Ivy St, Wapato",46.4489860534668,-120.42095184326172,+15092259310,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
yakima-wa-overture-7fe9bfcf,Sunrise Outreach Center - Ahtanum Food Pantry - Food Distribution Center,meal,"7803 Ahtanum Rd, Yakima",46.55872344970703,-120.61326599121094,15092259310,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: socyakima.com
yakima-wa-overture-3ca660ba,Noah's Ark Homeless Shelter,shelter,"117 E 2nd St, Wapato",46.446781158447266,-120.41895294189453,+15098776337,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.generatinghope.org/
yakima-wa-overture-df18b609,Yakima Union Gospel Mission,shelter,"1300 N 1st St, Yakima",46.61897277832031,-120.51214599609375,+15092484510,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://yugm.org/
yakima-wa-overture-92461001,Yakima Rotary Food Bank,meal,"703 E Central Ave, Yakima",46.58704376220703,-120.49234771728516,+15098538918,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.yakimarotaryfoodbank.org/
yakima-wa-overture-312b6502,Next Step Housing,shelter,"711 W Walnut St, Yakima",46.59675216674805,-120.5184097290039,+15094578771,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nextstephousing.com/Contact.htm
yakima-wa-overture-ead854e1,Rod's House,shelter,"204 S Naches Ave, Yakima",46.600643157958984,-120.49897766113281,+15098952665,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/RodsHouse
yakima-wa-overture-208d5a71,Northwest Harvest,meal,"1968 W J St, Yakima",46.6148567199707,-120.53463745117188,+15095756956,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.northwestharvest.org/central-washington
yakima-wa-overture-b97950c4,Bicycle Apartments,shelter,"118 N 50th Ave, Yakima",46.598751068115234,-120.57665252685547,+15095946053,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
yakima-wa-overture-4b1d9079,Camp Hope,shelter,"2300 E Birch St, Yakima",46.582275390625,-120.46907043457031,+15094241228,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://camphopeyakima.com/
yakima-wa-overture-735aa253,Northwest Harvest Yakima,meal,"911 S 3rd St, Yakima",46.59143829345703,-120.49752044677734,+15095756956,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
yakima-wa-overture-aad4f853,Highland Food Bank,meal,"416 Maple St, Tieton",46.702491760253906,-120.7551040649414,+15099017800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.highlandfoodbank.org/
yakima-wa-overture-ffd73fe1,People For People Senior Nutrition,meal,"1008 W Ahtanum Rd, Yakima",46.557106018066406,-120.48991394042969,+15094262601,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mealsonwheelsyakima.com
yakima-wa-overture-7d0b11a5,Salvation Army Food Bank,meal,"9 S 6th Ave, Yakima",46.599002838134766,-120.51634216308594,15094533139,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
