id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
yavapai-az-overture-305fd523,Prescott Valley Food Bank,meal,"8671 Spouse Dr, Prescott Valley",34.61080551147461,-112.30111694335938,+19287724490,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.yavapaifoodbank.org
yavapai-az-overture-8d8ad9e4,Prescott Community Cupboard Food Bank,meal,"777 W Hillside Ave, Prescott",34.55306625366211,-112.4798355102539,+19282770092,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://thecommunitycupboard.org/
yavapai-az-overture-e992dfe0,Foothills Food Bank,meal,"34550 Old Black Canyon Hwy, Black Canyon City",34.06508255004883,-112.14979553222656,+16233749441,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://foothillsfoodbank.com
yavapai-az-overture-9d8d5eb9,Manzanita Outreach,meal,"406 S 6th St, Cottonwood",34.73218536376953,-112.02336120605469,+19286495772,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.manzanitaoutreach.org/
yavapai-az-overture-4d0a05e9,Verde Valley Homeless Coalition,shelter,"654 N Main St, Cottonwood",34.74391174316406,-112.0173568725586,19286414298,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://verdevalleyhomelesscoalition.com
yavapai-az-overture-9ef903e3,Shepherd's Table Food Pantry,meal,"3950 N Valorie Dr, Prescott Valley",34.60039520263672,-112.3135757446289,19287728845,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://tlcpv.360unite.com
yavapai-az-overture-fef667d4,Camp Verde Seventh-day Adventist Church,meal,"1406 N Boot Hill Dr, Camp Verde",34.590118408203125,-111.86819458007812,+19285674281,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://azfoodbanks.org/maps/adventist-community-services-camp-verde/
yavapai-az-overture-5b9fb855,Prescott Area Shelter Services,shelter,"336 N Rush St, Prescott",34.546661376953125,-112.45777130126953,+19287785933,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.prescottshelters.org/
yavapai-az-overture-8c9d311d,Bread Of Life Mission,meal,"3315 E Beaver Creek Rd, Rimrock",34.64218521118164,-111.79338836669922,19282165252,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.breadoflifeaz.org
yavapai-az-overture-8d8a0313,Yavapai Food Bank,meal,"8866 E Long Mesa Dr, Prescott Valley",34.62626266479492,-112.30940246582031,+19287755255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.yavapaifoodbank.org/
yavapai-az-overture-80408f34,Yavapai Apache Tribal Housing Food Distribution Center,meal,"876 Smiley Ave, Camp Verde",34.556583404541016,-111.85323333740234,+19285670435,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://yavapaiapache.nsopw.gov
yavapai-az-overture-244ccd2d,Sedona Community Food Bank,meal,"30 Inspirational Dr, Sedona",34.862606048583984,-111.78850555419922,+19282042808,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sedonafoodbank.org/donations.html
yavapai-az-overture-621c3018,Manzanita - Food Distribution Center,meal,"55 Rojo Dr, Sedona",34.76902389526367,-111.7667236328125,19286495772,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.manzanitaoutreach.org
yavapai-az-overture-d3bae8ae,Agape House of Prescott,shelter,"815 Gail Gardner Way Ste A, Prescott",34.5565185546875,-112.48670196533203,9289101089,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://agapehouseprescott.org/
yavapai-az-overture-766325d4,Paulden Food Bank,meal,"195 E Aspen Rd, Paulden",34.9123420715332,-112.4668960571289,+19289851070,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://pauldenfoodbank.com
yavapai-az-overture-f2b0c509,Project Rising Hope,meal,"750 E Mingus Ave, Cottonwood",34.74049377441406,-112.02023315429688,+19286345214,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.projectrisinghope.org/
yavapai-az-overture-e7080d74,Chino Valley Food Bank,meal,"840 E Road 1 S, Chino Valley",34.73894500732422,-112.44961547851562,19286368478,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
yavapai-az-overture-d23e6c14,Project Aware Men's Shelter,shelter,"215 1/2, W Leroux St, Prescott",34.53409194946289,-112.47138214111328,+19287787744,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.homelessshelterdirectory.org/shelter/az_project-aware-mens-shelter
yavapai-az-overture-3f15b594,St. Vincent De Paul Food Pantry,meal,"16231 S Indian Bend Dr, Mayer",34.30666732788086,-112.10563659667969,+19286327722,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://svdpusa.org
yavapai-az-overture-877796d8,Manzanita - Food Distribution Center,meal,"3800 E Western Dr, Cottonwood",34.6917724609375,-111.98484802246094,19286495772,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.manzanitaoutreach.org
yavapai-az-overture-30f2acef,Coalition For Compassion And Justice,shelter,"531 Madison Ave, Prescott",34.54805374145508,-112.47607421875,19284458382,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.yavapaiccj.org
yavapai-az-overture-b4861c42,Bread Of Life Mission - Food Distribution Center,meal,"1575 S Sullivan Ln  # 28, Camp Verde",34.5447883605957,-111.86430358886719,9285676931,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.breadoflifeaz.org
