id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
york-pa-overture-8ee34fee,Hanover Area Council of Churches,shelter,"136 Carlisle St, Hanover",39.802330017089844,-76.98542022705078,+17176336353,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hanoverareacouncilofchurches.org/
york-pa-overture-01d8f9dd,York County Food Bank,meal,"15 Marianne Dr, York",40.03893280029297,-76.73406982421875,+17178466435,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.yorkfoodbank.org/
york-pa-overture-c3e93f47,New Hope Ministries - Dillsburg Center - Food Distribution Center,meal,"6 N 2nd St, Dillsburg",40.11114501953125,-77.03726196289062,17174323053,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://nhm-pa.org
york-pa-overture-5a1b6f6c,Hearts for Hunger,meal,"10384 Winterstown Rd, Red Lion",39.86503601074219,-76.62027740478516,+17172446323,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://pleasantvchurch.com/hearts-for-hunger/
york-pa-overture-ae5d49c3,Stewartstown Food Pantry at SUMC,meal,"8 Church St, Stewartstown",39.75056457519531,-76.59207153320312,+17175016018,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stewartstownfoodpantry.com/
york-pa-overture-9dbd43c9,York County Food Bank Drive-thru Distribution,meal,"2530 Cape Horn Rd, Red Lion",39.94205093383789,-76.6483154296875,17178466435,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: yorkfoodbank.org
york-pa-overture-e145b2c9,God's Meal Barrel,meal,"240 Frederick St, Hanover",39.798072814941406,-76.98673248291016,+17176375568,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gofundme.com/campaign-for-gods-meal-barrel-inc
york-pa-overture-6e4dd78e,Harvest of Hope Food Pantry,meal,"4485 Wolfs Church Rd, West Manchester Twp",39.923439025878906,-76.82074737548828,+17177926070,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
york-pa-overture-d0a41207,Our Daily Bread Soup Kitchen,meal,"331 S George St, York",39.95784378051758,-76.72509002685547,+17178481674,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://odbyork.org/donate-and-volunteer
york-pa-overture-3383cbea,Harvest Of Blessing,meal,"1230 W Poplar St, West York",39.95232391357422,-76.75239562988281,+17178084209,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://harvestofblessing.org/
york-pa-overture-1c1f9527,Catholic Harvest Food Pantry,meal,"628 E Market St, York",39.96674346923828,-76.714599609375,+17178468571,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://catholicharvest.org/
york-pa-overture-b22f898e,Northeastern Food Pantry,meal,"4832 N Sherman St Ext, East Manchester Twp",40.05209732055664,-76.69319152832031,+17172666785,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://northeastern-food-pantry.hub.biz
york-pa-overture-fc2bace4,Project Manna - Food Distribution Center,meal,"2000 Hollywood Dr, York",39.94533920288086,-76.69129943847656,17178435011,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: yorkjcc.org
york-pa-overture-ec330384,Food Pantry Clearing House,meal,"30 E King St, York",39.96123123168945,-76.7260513305664,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://cap4kids.org
york-pa-overture-60b5612f,Eastern York Food Pantry,meal,"404 Hellam St, Wrightsville",40.02503204345703,-76.53409576416016,+17172522609,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
york-pa-overture-bb2d93b1,Southern York County Pantry,meal,"315 N Constitution Ave, New Freedom",39.742591857910156,-76.69061279296875,+17172356370,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://southernyorkcountypantry.org/
york-pa-overture-2bdead8a,Bell Family Shelter,shelter,"852 E Market St, York",39.967002868652344,-76.71207427978516,+17178459536,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bellsocialization.com/homeless-services-and-housing-support/bell-family-shelter-emergency-help-for-homeless-families
york-pa-overture-d824d2f2,Well,meal,"408 W Market St, York",39.959232330322266,-76.73750305175781,+17178527345,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://wellpantry.org/
